,loglike,train_ARI,test_ARI,loglike_std,train_ARI_std,test_ARI_std,method,missing_rate,RMSE_train,RMSE_test,RMSE_train_std,RMSE_test_std
28,0.0,0.10535890733826107,0.08692589995835363,0.0,0.0,0.0,KMeans+median,0.5,,,,
29,-3.274489483229562,0.00027200774546778293,0.0001334749652028968,0.11796606509493002,0.00013690288980104857,0.00022079428711967766,EM+CC,0.5,0.4807507003666693,0.48522533633239806,1.790180836524724e-16,2.4183763891532222e-05
30,0.0,-0.0010106121423211405,0.00033087204856501167,0.0,0.0,0.0,KMeans+CC,0.6,,,,
31,0.0,0.07537648514716513,0.07455554371985385,0.0,0.0,0.0,KMeans+mean,0.6,,,,
32,0.0,0.07537648514716513,0.07455554371985385,0.0,0.0,0.0,KMeans+mode,0.6,,,,
33,0.0,0.07537648514716513,0.07455554371985385,0.0,0.0,0.0,KMeans+median,0.6,,,,
34,-12.129842087193888,-9.537108470249577e-05,0.0002895116345708867,2.3418095221756614,3.5355210817333117e-05,0.00030270595648935057,EM+CC,0.6,0.4855293172030321,0.49152932683316,2.5153608582712866e-13,0.0010335657133520794
35,0.0,-0.00020749990147803403,-0.0008904996646597789,0.0,0.0007167488098176492,0.0008757713222548913,KMeans+CC,0.7,,,,
36,0.0,0.04595392643928821,0.05241899589260594,0.0,0.0,0.0,KMeans+mean,0.7,,,,
37,0.0,0.04595392643928821,0.05241899589260594,0.0,0.0,0.0,KMeans+mode,0.7,,,,
38,0.0,0.04595392643928821,0.05241899589260594,0.0,0.0,0.0,KMeans+median,0.7,,,,
39,-21.438367848062544,1.0817830918311614e-05,0.0016268426556441662,7.431692663111399,1.3069962137997254e-05,0.001446169644510318,EM+CC,0.7,0.5065824901452334,0.5123092690937849,4.440892098500626e-16,0.0012132701292277566
40,0.0,0.00020426880621121098,0.0012618885863545314,0.0,0.0008444538626386574,0.002137917943450892,KMeans+CC,0.8,,,,
41,0.0,0.017443861842232507,0.013997473835117635,0.0,0.0,3.469446951953614e-18,KMeans+mean,0.8,,,,
42,0.0,0.017443861842232507,0.013997473835117635,0.0,0.0,3.469446951953614e-18,KMeans+mode,0.8,,,,
43,0.0,0.017443861842232507,0.013997473835117635,0.0,0.0,3.469446951953614e-18,KMeans+median,0.8,,,,
44,-75.23927049867336,0.0,0.0,0.0,0.0,0.0,EM+CC,0.8,0.6834001260313667,0.6774526297027592,1.1102230246251565e-16,1.1102230246251565e-16
45,0.0,7.851201173071324e-05,0.00019028333399873486,0.0,0.00043016265197940676,0.0028603107458673753,KMeans+CC,0.9,,,,
46,0.0,0.003559167024283561,0.003147596546276057,0.0,4.336808689942018e-19,0.0,KMeans+mean,0.9,,,,
47,0.0,0.003559167024283561,0.003147596546276057,0.0,4.336808689942018e-19,0.0,KMeans+mode,0.9,,,,
48,0.0,0.003559167024283561,0.003147596546276057,0.0,4.336808689942018e-19,0.0,KMeans+median,0.9,,,,
49,-75.23927049867336,0.0,0.0,0.0,0.0,0.0,EM+CC,0.9,0.6815442719868969,0.6792900540847595,1.1102230246251565e-16,1.1102230246251565e-16
